Atoms,0.125,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Electrons,14.375,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Magnets,28.625,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Light,42.875,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Sensors,57.125,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Motors,71.375,0.125,13.0,13.0,0.125,000000,FFFFFF,1
Transistors,85.625,0.125,13.0,13.0,0.125,000000,FFFFFF,0
Amplifiers,0.125,14.375,13.0,13.0,0.125,000000,FFFFFF,1
Circuits,14.375,14.375,13.0,13.0,0.125,000000,FFFFFF,1
Power,28.625,14.375,13.0,13.0,0.125,000000,FFFFFF,1
Data,42.875,14.375,13.0,13.0,0.125,000000,FFFFFF,1
Logic,57.125,14.375,13.0,13.0,0.125,000000,FFFFFF,1
Memory,71.375,14.375,13.0,13.0,0.125,000000,FFFFFF,1
FPGAs,85.625,14.375,13.0,13.0,0.125,000000,FFFFFF,0
Computers,0.125,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Control,14.375,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Robotics,28.625,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Systems,42.875,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Linux,57.125,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Python,71.375,28.625,13.0,13.0,0.125,000000,FFFFFF,1
Networks,85.625,28.625,13.0,13.0,0.125,000000,FFFFFF,0
Websites,0.125,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Servers,14.375,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Security,28.625,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Audio,42.875,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Vision,57.125,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Learning,71.375,42.875,13.0,13.0,0.125,000000,FFFFFF,1
Intelligence,85.625,42.875,13.0,13.0,0.125,000000,FFFFFF,0
